Date,Clicks,Impressions,CTR,Position
2026-02-09,0,76,0%,23.9
2026-02-10,0,61,0%,10.3
2026-02-11,0,28,0%,21.6
2026-02-12,0,28,0%,55.9
2026-02-13,0,17,0%,30.5
2026-02-14,1,12,8.33%,15.4
2026-02-15,1,9,11.11%,11.9
2026-02-16,0,23,0%,31.5
2026-02-17,0,10,0%,20.7
2026-02-18,0,9,0%,5.6
2026-02-19,1,31,3.23%,41
2026-02-20,0,18,0%,19.9
2026-02-21,0,7,0%,38.6
2026-02-22,0,4,0%,15.8
2026-02-23,0,29,0%,29
2026-02-24,0,11,0%,6.7
2026-02-25,0,11,0%,11.7
2026-02-26,1,24,4.17%,46.5
2026-02-27,0,22,0%,49
2026-02-28,1,17,5.88%,11.9
2026-03-01,1,14,7.14%,12.7
2026-03-02,0,29,0%,28
2026-03-03,0,21,0%,11.6
2026-03-04,2,22,9.09%,24.6
2026-03-05,0,77,0%,42.2
2026-03-06,0,40,0%,43.6
2026-03-07,0,12,0%,12.6
2026-03-08,0,7,0%,4.7
2026-03-09,0,37,0%,22.9
2026-03-10,0,24,0%,9.4
2026-03-11,1,17,5.88%,10.4
2026-03-12,0,202,0%,48.2
2026-03-13,1,26,3.85%,39
2026-03-14,0,22,0%,19.6
2026-03-15,1,134,0.75%,35.4
2026-03-16,2,61,3.28%,20
2026-03-17,0,17,0%,8.4
2026-03-18,1,21,4.76%,19.7
2026-03-19,0,86,0%,28.9
2026-03-20,2,43,4.65%,27.1
2026-03-21,0,23,0%,17.5
2026-03-22,0,149,0%,31.6
2026-03-23,0,65,0%,21.5
2026-03-24,0,23,0%,17.1
2026-03-25,0,28,0%,9.3
2026-03-26,0,64,0%,15.1
2026-03-27,0,38,0%,19.4
2026-03-28,0,9,0%,14
2026-03-29,0,30,0%,15.5
2026-03-30,0,43,0%,14.7
2026-03-31,0,31,0%,13.5
2026-04-01,0,14,0%,9.8
2026-04-02,0,60,0%,16.8
2026-04-03,0,15,0%,12.5
2026-04-04,0,12,0%,11.9
2026-04-05,0,72,0%,19.6
2026-04-06,0,44,0%,15.4
2026-04-07,1,33,3.03%,9.9
2026-04-08,0,17,0%,7
2026-04-09,2,63,3.17%,14.6
2026-04-10,0,12,0%,21.1
2026-04-11,1,13,7.69%,8.5
2026-04-12,0,57,0%,22.4
2026-04-13,0,27,0%,14.8
2026-04-14,0,25,0%,21.6
2026-04-15,0,14,0%,11.5
2026-04-16,0,41,0%,26.8
2026-04-17,1,32,3.12%,23
2026-04-18,0,14,0%,24
2026-04-19,1,93,1.08%,25.2
2026-04-20,0,46,0%,24.7
2026-04-21,0,30,0%,22.1
2026-04-22,1,70,1.43%,21.4
2026-04-23,1,55,1.82%,26
2026-04-24,0,40,0%,32.1
2026-04-25,0,22,0%,29
2026-04-26,0,69,0%,23.4
2026-04-27,0,43,0%,28.4
2026-04-28,0,29,0%,17.6
2026-04-29,0,28,0%,19.5
2026-04-30,0,58,0%,21.9
2026-05-01,2,33,6.06%,31
2026-05-02,0,18,0%,33.1
2026-05-03,2,71,2.82%,24
2026-05-04,0,56,0%,17.9
2026-05-05,2,26,7.69%,17.5
2026-05-06,1,28,3.57%,20.4
2026-05-07,2,59,3.39%,20.7
2026-05-08,0,29,0%,25.8
